Feature,Random Forest,Gradient Boosting
manufacturer_name_Iveco,0.00018011711597836695,9.45006957993088e-05
model_name_Viano,0.00018004264226362276,0.0
model_name_Polo,0.00017898740221796905,0.0
model_name_A8,0.00017700647312079905,0.0
model_name_9 - 5,0.0001748521702270662,0.0
model_name_X-Trail,0.00017235679776212893,0.0
model_name_FX,0.00017010787729327586,0.0
model_name_Sportage,0.00016818060687497923,0.0
model_name_Primera,0.00016640116901797908,0.0
model_name_Sonata,0.00016621132224752894,0.0
model_name_730,0.00016534899721705777,0.0
model_name_RAV4,0.00016403163034585684,0.0
model_name_Touran,0.00016400638638144245,0.0
model_name_Superb,0.00016346363032286322,0.0
model_name_Accent,0.00016285814529951468,0.0
model_name_E200,0.00016206545980072286,4.873226839158896e-06
model_name_Cruze,0.0001615933775433105,0.0
model_name_Astra,0.0001596376573469142,0.0
model_name_530,0.00015866004808049762,0.0
model_name_318,0.00015761851714439365,0.0
model_name_9 - 3,0.00015592811449259043,7.147348262555269e-06
model_name_Megane,0.000155109630784978,0.0
model_name_Terracan,0.00015438131622392588,0.0
model_name_Toledo,0.00015401513452055054,0.0
model_name_C3,0.000153037477519175,0.0
model_name_Transit,0.00015101056542980812,0.0
model_name_Rapid,0.00014901408676623316,0.0
model_name_T5 Multivan,0.00014791064225102004,0.0
manufacturer_name_ВАЗ,0.0001477245937482981,0.0
model_name_Xantia,0.0001468412751676951,0.0
body_type_limousine,0.0001467330057913013,2.8706937479580476e-05
model_name_Sharan,0.00014492058370890317,0.0
model_name_Duster,0.00014323756576109398,0.0
model_name_120,0.00014174907797579267,0.0
model_name_Vectra,0.00014031935482152134,0.0
model_name_Qashqai,0.00013925328102001592,0.0
model_name_CX-5,0.00013626897855175974,0.0
manufacturer_name_Lifan,0.00013581904122261443,0.0
model_name_528,0.00013421407972454054,0.0
model_name_Scenic,0.00013400377243773633,0.0
model_name_V250,0.0001335542873425681,0.0
model_name_Yeti,0.00013247706132418603,0.0
model_name_Tiguan,0.00013175391746888553,0.0
model_name_Xsara,0.0001308690163620136,0.0
model_name_Matrix,0.00012970985554731652,0.0
manufacturer_name_Jeep,0.00012757054840481714,0.0
model_name_Xsara Picasso,0.0001266244008615242,0.0
model_name_Kodiaq,0.00012260921593596687,0.0
model_name_Trafic,0.00012222942680737033,0.0
model_name_Clio,0.00012182609085903007,0.0
manufacturer_name_ГАЗ,0.00012012512187762027,0.0
model_name_X3,0.00011815572730612344,0.0
model_name_Highlander,0.0001179644389779368,0.0
color_orange,0.00011795653292224665,2.1422112061815803e-05
model_name_Forester,0.00011670841825704954,0.0
model_name_Zafira,0.00011636866599571734,0.0
model_name_Logan,0.00011478502581894562,0.0
model_name_GS,0.00011338783801366086,0.0
manufacturer_name_Mini,0.00011227426089077203,0.0
